       Dirección Corporativa de Administración y Servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Subdirección de Servicios de Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Gerencia de Prevención Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Morbilidad en Petróleos Mexicanos 2016 (Casos Nuevos Notificados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casos,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De 00 años,,,De 01 a 04 años,,Total De 01 a 04 años,De 05 a 09 años,,Total De 05 a 09 años,De 10 a 14 años,,Total De 10 a 14 años,De 15 a 19 años,,Total De 15 a 19 años,De 20 a 24 años,,Total De 20 a 24 años,De 25 a 44 años,,Total De 25 a 44 años,De 45 a 49 años,,Total De 45 a 49 años,De 50 a 59 años,,Total De 50 a 59 años,De 60 a 64 años,,Total De 60 a 64 años,De 65 y más años,,Total De 65 y más años,Total general
Padecimiento,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,
Absceso hepático amebiano(A06.4),,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,2
"Accidentes de transporte en vehículos con motor(V20-V29, V40-V79)",,1,1,4,4,8,7,9,16,13,11,24,11,40,51,17,21,38,88,113,201,22,28,50,28,30,58,9,8,17,13,12,25,489
Adicciones(F10-F19 excepto F10.0),,,,,,,,,,,1,1,5,6,11,2,6,8,5,40,45,1,10,11,7,21,28,,6,6,3,4,7,117
"Amebiasis intestinal(A06.0-A06.3, A06.9)",9,11,20,34,40,74,21,21,42,22,17,39,14,13,27,9,4,13,54,35,89,15,9,24,37,26,63,16,7,23,41,18,59,473
"Anorexia, bulimia y otros trastornos alimentarios(F50)",,,,,,,2,3,5,13,2,15,7,2,9,1,1,2,5,3,8,2,,2,1,2,3,2,,2,4,,4,50
Ascariasis(B77),,,,8,6,14,4,4,8,2,3,5,,,,,,,2,,2,,,,,,,,1,1,1,,1,31
"Asma(J45, J46)",26,38,64,216,304,520,147,252,399,83,121,204,58,40,98,29,20,49,157,78,235,52,14,66,110,47,157,34,18,52,103,49,152,1996
Brucelosis(A23),,,,,,,,,,,,,,,,,,,,2,2,,,,1,1,2,,,,,1,1,5
Candidiasis urogenital(B37.3-B37.4),,,,,,,,,,3,2,5,15,1,16,24,,24,173,14,187,50,3,53,73,10,83,28,,28,42,2,44,440
Chancro blando(A57),,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1
Cirrosis hepática alcohólica(K70.3),,,,,,,,,,,,,,,,,,,,,,1,,1,1,9,10,1,5,6,4,13,17,34
Conjuntivitis epidémica aguda hemorrágica(B30.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1
Conjuntivitis(H10),141,172,313,503,537,1040,499,639,1138,394,501,895,281,277,558,174,164,338,1631,1676,3307,613,664,1277,1382,1071,2453,583,453,1036,1342,950,2292,14647
"Contacto traumático con avispas, avispones y abejas(X23)",1,,1,,1,1,4,6,10,2,7,9,3,2,5,1,1,2,15,11,26,2,4,6,9,6,15,1,1,2,3,3,6,83
Dengue grave(A97.2),,1,1,2,,2,3,4,7,3,5,8,5,10,15,2,2,4,13,17,30,4,6,10,7,14,21,4,6,10,16,12,28,136
"Dengue no grave(A97.0, A97.9)",7,1,8,19,20,39,33,35,68,50,66,116,56,73,129,45,26,71,272,200,472,58,57,115,123,89,212,36,29,65,46,38,84,1379
Depresión(F32),,,,,,,1,2,3,17,9,26,22,7,29,16,2,18,77,19,96,42,7,49,92,21,113,40,10,50,157,62,219,603
Desnutrición leve(E44.1),17,6,23,26,12,38,13,10,23,6,6,12,2,1,3,1,,1,,1,1,,,,2,3,5,,,,1,,1,107
Desnutrición moderada(E44.0),,3,3,9,2,11,2,1,3,2,,2,2,1,3,,,,,,,,,,,,,,,,2,5,7,29
Desnutrición severa(E40-E43),3,,3,3,2,5,,1,1,3,,3,,,,,,,,,,,,,,,,,,,2,1,3,15
Diabetes mellitus en el embarazo(O24.4),,,,,,,,,,,,,,,,7,,7,59,,59,2,,2,,,,,,,,,,68
Diabetes mellitus tipo 1(E10),,,,,,,,,,2,1,3,,,,4,,4,,,,,,,,,,,,,1,1,2,9
Diabetes mellitus tipo 2(E11-E14),,,,,,,,,,4,1,5,4,3,7,8,9,17,235,266,501,177,184,361,345,336,681,135,118,253,220,182,402,2227
Displasia cervical leve y moderada(N87.0-N87.1),,,,,,,,,,,,,4,,4,11,,11,77,,77,18,,18,32,,32,9,,9,18,,18,169
"Displasia cervical severa y CaCu in situ(N87.2, D06)",,,,,,,,,,,,,,,,2,,2,30,,30,5,,5,8,,8,3,,3,7,,7,55
"Edema, proteinuria y transtornos hipertensivos en el embarazo, parto y puerperio(O10-O16)",,,,,,,,,,,,,,,,5,,5,31,,31,2,,2,,,,,,,,,,38
"Efectos del calor y de la luz(T67, X30)",,,,,1,1,,1,1,1,4,5,2,1,3,1,,1,6,6,12,2,,2,1,5,6,3,1,4,2,6,8,43
Enfermedad alcohólica del hígado(K70 EXCEPTO K70.3),,,,,,,,,,1,,1,,,,1,,1,2,5,7,1,1,2,3,12,15,1,8,9,1,10,11,46
"Enfermedad cerebrovascular(I60-I67, I69)",,,,,,,,3,3,1,,1,1,1,2,3,,3,25,17,42,13,18,31,52,66,118,44,50,94,306,320,626,920
Enfermedad de Alzheimer(G30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,8,15,16
Enfermedad de Parkinson(G20),,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,3,1,2,3,18,16,34,41
Enfermedad febril exantemática(U97),,3,3,7,2,9,,1,1,,,,,,,,,,3,,3,2,2,4,,1,1,,,,1,,1,22
Enfermedad isquémica del corazón(I20-I25),,,,,,,,,,,,,,1,1,,1,1,7,22,29,11,28,39,47,109,156,38,75,113,252,323,575,914
Enfermedad por virus Chikungunya(A92.0),,,,,1,1,4,2,6,3,6,9,8,2,10,5,3,8,44,17,61,23,7,30,21,7,28,9,3,12,3,4,7,172
Enterobiasis(B80),,,,,,,3,,3,2,,2,,,,,,,1,,1,,,,,,,,,,,,,6
Erisipela(A46),,,,,1,1,,1,1,,1,1,,1,1,1,,1,8,23,31,5,8,13,21,28,49,11,12,23,69,45,114,235
Escabiosis(B86),30,31,61,98,119,217,122,167,289,110,138,248,70,70,140,19,22,41,126,92,218,48,34,82,109,82,191,51,34,85,109,66,175,1747
Escarlatina(A38),,1,1,2,3,5,3,4,7,,2,2,,,,,,,,,,,,,,,,,,,,,,15
Espina bífida(Q05),2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Eventos supuestamente asociados a la vacunación (ESAVI)(Y58, Y59)",,,,2,1,3,,,,,,,,,,,,,,1,1,,,,1,,1,,,,,,,5
"Faringitis y amigdalitis estreptocócicas(J02.0, J03.0)",,,,2,7,9,4,6,10,2,2,4,1,1,2,3,,3,7,9,16,2,1,3,6,8,14,2,2,4,2,3,5,70
